level,origin_type,origin_name,filename,relative_path,source_filename,classification_basis,asset_status,resolution,color_mode
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-19-18-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-19-18-256.png,aachat-phase4-cand-19-18-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-19-19-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-19-19-256.png,aachat-phase4-cand-19-19-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-19-20-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-19-20-256.png,aachat-phase4-cand-19-20-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-20-01-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-20-01-256.png,aachat-phase4-cand-20-01-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-02-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-02-256.png,aachat-phase4-cand-20-02-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-20-03-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-20-03-256.png,aachat-phase4-cand-20-03-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-04-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-04-256.png,aachat-phase4-cand-20-04-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-20-05-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-20-05-256.png,aachat-phase4-cand-20-05-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-06-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-06-256.png,aachat-phase4-cand-20-06-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-20-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-07-256.png,aachat-phase4-cand-20-07-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-20-08-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-20-08-256.png,aachat-phase4-cand-20-08-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-20-09-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-09-256.png,aachat-phase4-cand-20-09-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-10-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-10-256.png,aachat-phase4-cand-20-10-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-20-11-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-20-11-256.png,aachat-phase4-cand-20-11-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-20-12-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-20-12-256.png,aachat-phase4-cand-20-12-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-13-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-13-256.png,aachat-phase4-cand-20-13-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-20-14-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-20-14-256.png,aachat-phase4-cand-20-14-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-20-15-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-15-256.png,aachat-phase4-cand-20-15-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-16-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-16-256.png,aachat-phase4-cand-20-16-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-20-17-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-20-17-256.png,aachat-phase4-cand-20-17-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-18-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-18-256.png,aachat-phase4-cand-20-18-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-20-19-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-20-19-256.png,aachat-phase4-cand-20-19-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-20-20-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-20-20-256.png,aachat-phase4-cand-20-20-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
